region,country,vintage,producer,wine_variety,grape_variety,rating,rating_qty,log_price,log_rating_qty,rating * log_rating_qty
100.0,5.0,28.0,1555.0,0.0,122.0,3.9,878.0,3.2184757448468613,6.777646593635117,26.43282171517696
158.0,5.0,31.0,4367.0,0.0,122.0,3.9,182.0,3.2577118486533987,5.204006687076795,20.2956260795995
149.0,20.0,29.0,3293.0,3.0,54.0,3.8,1381.0,3.351656936102019,7.2305631534092925,27.47613998295531
178.0,18.0,28.0,3545.0,3.0,122.0,3.7,1323.0,2.379546134130174,7.187657164114955,26.59433150722533
38.0,20.0,31.0,1196.0,0.0,76.0,3.4,598.0,2.193885676070705,6.393590753950631,21.738208563432146
158.0,10.0,29.0,5316.0,2.0,54.0,3.8,53.0,2.4336133554004498,3.970291913552122,15.087109271498065
158.0,5.0,30.0,5233.0,3.0,122.0,3.3,76.0,2.26176309847379,4.330733340286331,14.291420022944893
216.0,0.0,28.0,2498.0,0.0,49.0,3.6,283.0,2.8535925063928684,5.645446897643238,20.323608831515656
150.0,18.0,32.0,6645.0,0.0,122.0,3.8,33.0,2.5930133911138515,3.49650756146648,13.286728733572623
239.0,17.0,30.0,4202.0,2.0,108.0,3.5,171.0,2.089391872533004,5.14166355650266,17.99582244775931
76.0,5.0,31.0,2476.0,0.0,122.0,3.9,850.0,2.122261538862764,6.745236349484363,26.30642176298901
166.0,6.0,26.0,353.0,2.0,76.0,3.9,58.0,3.482777368654578,4.060443010546419,15.835727741131034
29.0,5.0,30.0,460.0,0.0,122.0,3.5,877.0,2.640484881606444,6.776506992372183,23.71777447330264
32.0,10.0,28.0,1113.0,1.0,122.0,4.3,250.0,3.8774315606585272,5.521460917862246,23.74228194680766
158.0,3.0,25.0,4692.0,2.0,17.0,4.2,4846.0,3.212857752542638,8.48590890137647,35.640817385781176
110.0,10.0,29.0,5161.0,0.0,60.0,3.8,271.0,2.6567569067146595,5.602118820879701,21.28805151934286
123.0,4.0,30.0,5775.0,0.0,17.0,3.8,680.0,2.564179830682508,6.522092798170152,24.783952633046574
149.0,20.0,22.0,1223.0,0.0,17.0,4.6,47.0,5.98386071108125,3.8501476017100575,17.71067896786627
145.0,10.0,31.0,841.0,0.0,122.0,3.6,84.0,2.444952334280968,4.430816798843313,15.950940475835928
100.0,5.0,24.0,1732.0,2.0,122.0,3.9,1407.0,3.887320392787774,7.249215057114389,28.27193872274612
127.0,5.0,30.0,1573.0,2.0,51.0,3.8,43.0,3.927305628959304,3.7612001156935615,14.292560439635537
162.0,5.0,18.0,1645.0,1.0,122.0,4.2,975.0,4.223909766576744,6.882437470997846,28.906237378190955
136.0,5.0,29.0,4300.0,1.0,122.0,3.9,142.0,3.025291075795536,4.955827057601261,19.32772552464492
204.0,17.0,28.0,5990.0,0.0,111.0,3.9,266.0,3.090587804566669,5.583496308781699,21.775635604248627
212.0,10.0,31.0,157.0,1.0,122.0,3.9,149.0,2.479056236109825,5.003946305945459,19.51539059318729
90.0,10.0,30.0,6121.0,0.0,96.0,4.2,47.0,3.7045067099996354,3.8501476017100575,16.170619927182248
123.0,4.0,29.0,5740.0,0.0,17.0,3.6,1461.0,2.658159431488745,7.2868764117507,26.23275508230252
81.0,10.0,31.0,2119.0,3.0,54.0,3.2,44.0,1.8421356765531216,3.784189633918261,12.109406828538436
171.0,18.0,32.0,590.0,0.0,122.0,4.0,123.0,3.295466427029913,4.812184355372417,19.24873742148967
2.0,6.0,29.0,3875.0,2.0,122.0,3.9,176.0,3.072230244526716,5.170483995038151,20.16488758064879
29.0,5.0,29.0,1318.0,2.0,122.0,3.5,709.0,2.201659174404085,6.563855526532128,22.973494342862445
178.0,18.0,24.0,6610.0,2.0,122.0,3.8,272.0,2.9595868269176377,5.605802066295998,21.30204785192479
164.0,18.0,30.0,6343.0,2.0,54.0,4.0,329.0,2.565718292524414,5.796057750765372,23.184231003061488
17.0,10.0,30.0,66.0,0.0,7.0,4.1,161.0,3.0572976292121457,5.081404364984462,20.833757896436293
35.0,5.0,31.0,2157.0,0.0,49.0,3.8,90.0,2.540814281726296,4.499809670330265,17.099276747255008
