name,Region,Country,Vintage,Producer,Wine Variety,Grape Variety,Price ($),Average Rating,ABV,Log Price,Age
Suvla Bogazkere Okuzgozu 2017,Other,Turkey,2017,Suvla,Rose,Unknown,12.48,3.6,,2.524127362941281,7
Casanova Di Neri Rosso Di Montalcino 2015,Rosso Di Montalcino,Italy,2015,Casanova Di Neri,Sparkling,Unknown,17.01,3.9,,2.833801406407771,9
Rolland Galarreta Rg Tempranillo 2012,Rioja,Spain,2012,Rolland Galarreta Rg,Red,Tempranillo,13.59,3.9,,2.6093342281630525,12
Castello Dei Rampolla Dalceo 2014,Toscana,Italy,2014,Castello Dei Rampolla,Red,Unknown,186.62,4.3,,5.229074463805876,10
Planeta La Segreta Il Rosso 2015,Sicilia,Italy,2015,Planeta,Sparkling,Unknown,12.6,3.5,,2.5336968139574325,9
Vina Albina Reserva Vendimia Seleccionada 2014,Rioja,Spain,2014,Vina Albina,Red,Unknown,12.76,3.7,,2.546315277916644,10
Bodega Garzon Single Vineyard Petit Verdot 2018,Other,Uruguay,2018,Bodega Garzon,Red,Petit Verdot,29.99,4.2,,3.4008639927609177,6
Haute Cabriere Pinot Noir Reserve 2016,Franschhoek,South Africa,2016,Haute Cabriere,White,Pinot Noir,26.58,4.1,,3.2801590532850997,8
Poggio Antico Brunello Di Montalcino Riserva 2015,Other,Italy,2015,Poggio Antico,Red,Sangiovese,139.99,4.7,14.5,4.941570991486734,9
Chateau Chauvin Saintemilion Grand Cru Grand Cru Classe 2005,Saintemilion Grand Cru,France,2005,Chateau Chauvin,White,Unknown,54.2,4.0,,3.992680908445601,19
Chateau Picque Caillou Pessacleognan 2017,Pessacleognan,France,2017,Chateau Picque Caillou,Rose,Unknown,25.91,4.1,,3.2546289945740186,7
Arzuaga Ribera Del Duero Crianza 2017,Ribera Del Duero,Spain,2017,Arzuaga,White,Unknown,23.14,4.1,,3.1415627217655304,7
Ck Mondavi Cabernet Sauvignon 2018,California,United States,2018,Ck Mondavi,Red,Cabernet Sauvignon,8.99,3.2,,2.196112848483529,6
Valpiculata Cerromendro Tinta De Toro 2013,Toro,Spain,2013,Valpiculata,Sparkling,Unknown,18.51,3.5,,2.9183111265854063,11
Italo Cescon Pinot Noir 2018,Veneto,Italy,2018,Italo Cescon,Red,Pinot Noir,13.99,3.8,,2.63834278867739,6
Giuseppe Sedilesu Carnevale Riserva Cannonau Di Sardegna 2015,Cannonau Di Sardegna,Italy,2015,Giuseppe Sedilesu,Sparkling,Unknown,28.03,4.1,,3.333275365176697,9
Frescobaldi Faunae Chianti Classico 2017,Chianti Classico,Italy,2017,Frescobaldi,Red,Chianti,11.31,3.3,,2.425687290128029,7
Bonfanti Malbec 2019,Mendoza,Argentina,2019,Bonfanti,Red,Malbec,17.92,3.7,,2.8859174075467844,5
Black Stallion Bucephalus Red Blend 2015,Napa Valley,United States,2015,Black Stallion,Red,Red Blend,310.47,4.7,,5.738087278348191,9
Bruno Giacosa Falletto Barbaresco Asili 2012,Barbaresco,Italy,2012,Bruno Giacosa,Rose,Unknown,121.03,4.4,,4.7960384487505126,12
Deloach Pinot Noir Central Coast 2015,Central Coast,United States,2015,Deloach,Rose,Pinot Noir,21.69,3.7,,3.076851324838783,9
