name,Region,Country,Vintage,Producer,Wine Variety,Grape Variety,Price (£),Average Rating,ABV,Log Price,Age
Anthonij Rupert Cabernet Franc 2012,Franschhoek,South Africa,2012,Anthonij Rupert,Red,Cabernet Franc,50.19,4.2,,3.915815803666842,12
Anthonij Rupert Cabernet Sauvignon 2012,Franschhoek,South Africa,2012,Anthonij Rupert,Red,Cabernet Sauvignon,50.19,4.3,,3.915815803666842,12
Anthonij Rupert Optima 2014,Franschhoek,South Africa,2014,Anthonij Rupert,Red,Unknown,19.25,4.2,,2.9575110607337933,10
Anthonij Rupert Syrah 2013,Franschhoek,South Africa,2013,Anthonij Rupert,Red,Syrah,50.19,4.1,,3.915815803666842,11
Antiche Terre Venete Valpolicella Ripasso Superiore 2017,Valpolicella Ripasso,Italy,2017,Antiche Terre Venete,Red,Unknown,8.55,3.8,,2.145931282948669,7
Antichi Poderi Jerzu Cannonau Di Sardegna 2018,Cannonau Di Sardegna,Italy,2018,Antichi Poderi Jerzu,Red,Unknown,6.61,3.3,,1.888583653863595,6
Antichi Vinai Koine Etna Rosso 2012,Etna,Italy,2012,Antichi Vinai,Red,Unknown,17.82,3.8,,2.880321422042663,12
Antico Monastero Barbaresco 2013,Barbaresco,Italy,2013,Antico Monastero,Red,Unknown,16.16,3.8,,2.782539053092949,11
Antinori Peppoli Chianti Classico 2018,Chianti Classico,Italy,2018,Antinori,Red,Chianti,11.25,3.8,,2.4203681286504293,6
Antinori Pian Delle Vigne Brunello Di Montalcino 2014,Brunello Di Montalcino,Italy,2014,Antinori,Red,Unknown,38.18,4.3,,3.6423118182976015,10
Antinori Pian Delle Vigne Vignaferrovia Brunello Di Montalcino Riserva 2013,Brunello Di Montalcino,Italy,2013,Antinori,Red,Unknown,108.0,4.4,,4.68213122712422,11
Antinori Tenuta Guado Al Tasso Bolgheri Superiore 2017,Bolgheri Superiore,Italy,2017,Antinori,Red,Unknown,104.65,4.7,,4.650621448892009,7
Antinori Tenuta Guado Al Tasso Contugo Bolgheri 2017,Bolgheri,Italy,2017,Antinori,Red,Unknown,28.48,4.2,,3.3492020865437757,7
Antinori Tenuta Tignanello Marchese Antinori Chianti Classico Riserva 2016,Chianti Classico,Italy,2016,Antinori,Red,Chianti,29.21,4.3,,3.37451111639965,8
Antinori Tenuta Tignanello Solaia 2016,Toscana,Italy,2016,Antinori,Red,Unknown,283.41,4.6,,5.646894612449152,8
Antinori Tignanello 1989,Toscana,Italy,1989,Antinori,Red,Unknown,774.47,4.5,,6.652178924439189,35
Antinori Tignanello 1997,Toscana,Italy,1997,Antinori,Red,Unknown,480.67,4.5,,6.175180963965499,27
Antinori Tignanello 2016,Toscana,Italy,2016,Antinori,Red,Unknown,91.25,4.6,,4.513602992462601,8
Antinori Villa Antinori Chianti Classico Riserva 2016,Chianti Classico,Italy,2016,Antinori,Red,Chianti,27.59,4.1,,3.317453388229195,8
Antiyal Pura Fe Carmenere 2016,Maipo Valley,Chile,2016,Antiyal,Red,Carmenere,14.19,3.8,,2.6525374911719517,8
Anton Bauer Zweigelt 2017,Unknown,Austria,2017,Anton Bauer,Red,Zweigelt,7.96,3.8,,2.074428999856292,7
Antonella Corda Cannonau Di Sardegna 2018,Cannonau Di Sardegna,Italy,2018,Antonella Corda,Red,Unknown,13.78,4.0,,2.6232182655855127,6
Antonelli San Marco Sagrantino Montefalco Chiusa Di Pannone 2011,Montefalco,Italy,2011,Antonelli San Marco,Red,Sagrantino,36.84,4.2,,3.6065842113871054,13
Antonin Rodet Beaujolaisvillages 2018,Beaujolaisvillages,France,2018,Antonin Rodet,Red,Unknown,8.94,3.5,,2.190535589185423,6
Antonio Mas Nucleo Malbec 2014,Uco Valley,Argentina,2014,Antonio Mas,Red,Malbec,8.33,3.8,,2.1198634561787517,10
Anubis Malbec 2018,Mendoza,Argentina,2018,Anubis,Red,Malbec,8.36,3.7,,2.12345842709661,6
Anura Legato Merlot Cabernet Sauvignon 2017,Stellenbosch,South Africa,2017,Anura,Red,Cabernet Sauvignon,9.71,3.8,,2.273156282303234,7
Anura Limited Release Syrah 2012,Stellenbosch,South Africa,2012,Anura,Red,Syrah,16.16,3.7,,2.782539053092949,12
Anura Pinotage 2016,Stellenbosch,South Africa,2016,Anura,Red,Pinotage,10.55,3.8,,2.356125859922076,8
Anura Reserve Cabernet Sauvignon 2014,Stellenbosch,South Africa,2014,Anura,Red,Cabernet Sauvignon,13.9,3.9,,2.631888840136646,10
Apaltagua Envero Carmenere Gran Reserva 2017,Colchagua Valley,Chile,2017,Apaltagua,Red,Carmenere,12.14,3.8,,2.4965057856313524,7
Apaltagua Gran Verano Carmenere 2018,Central Valley,Chile,2018,Apaltagua,Red,Carmenere,5.82,3.5,,1.7613002617433464,6
Apaltagua Signature Cabernet Sauvignon 2015,Maipo Valley,Chile,2015,Apaltagua,Red,Cabernet Sauvignon,25.79,4.0,,3.249986819893253,9
Apollonio Rocca Dei Mori Briaco Primitivo Salento Rosso 2016,Salento,Italy,2016,Apollonio,Red,Primitivo,6.61,3.8,,1.888583653863595,8
Apothic Dark Red Blend 2017,California,United States,2017,Apothic,Red,Red Blend,6.85,3.7,,1.924248652274134,7
Apothic Red Winemakers Blend 2018,California,United States,2018,Apothic,Red,Blend,7.1,3.8,,1.9600947840472696,6
Arabella Cabernet Sauvignon 2019,Robertson,South Africa,2019,Arabella,Red,Cabernet Sauvignon,4.98,3.5,,1.6054298910365616,5
Arabella Merlot 2019,Robertson,South Africa,2019,Arabella,Red,Merlot,4.98,3.7,,1.6054298910365616,5
Arabella Pinotage 2019,Robertson,South Africa,2019,Arabella,Red,Pinotage,4.98,3.8,,1.6054298910365616,5
Araldica Flori Barolo 2014,Barolo,Italy,2014,Araldica,Red,Barolo,20.71,3.7,,3.030616675407493,10
Arboleda Pinot Noir 2017,Unknown,Chile,2017,Arboleda,Red,Pinot Noir,18.6,3.8,,2.9231615807191558,7
Arboleda Syrah 2017,Aconcagua Valley,Chile,2017,Arboleda,Red,Syrah,15.41,3.8,,2.7350166493320245,7
Ardhuy Monopole Clos Des Langres Rouge 2014,Unknown,France,2014,Ardhuy,Red,Unknown,29.72,4.2,,3.3918202198495586,10
Argento Cabernet Sauvignon 2015,Mendoza,Argentina,2015,Argento,Red,Cabernet Sauvignon,7.28,3.4,,1.9851308622085944,9
Argento Malbec 2018,Mendoza,Argentina,2018,Argento,Red,Malbec,8.36,3.6,,2.12345842709661,6
Argento Malbec Reserva 2013,Mendoza,Argentina,2013,Argento,Red,Malbec,15.73,3.5,,2.7555697170701867,11
Argento Shiraz 2017,Mendoza,Argentina,2017,Argento,Red,Shiraz,8.36,3.4,,2.12345842709661,7
Argiano Brunello Di Montalcino 2015,Brunello Di Montalcino,Italy,2015,Argiano,Red,Unknown,30.0,4.2,,3.4011973816621555,9
Argiano Nc Non Confunditur Toscana 2017,Toscana,Italy,2017,Argiano,Red,Unknown,10.46,3.8,,2.347558458636777,7
Argiano Rosso Di Montalcino 2015,Rosso Di Montalcino,Italy,2015,Argiano,Red,Unknown,12.1,3.8,,2.4932054526026954,9
Argiano Solengo 2016,Toscana,Italy,2016,Argiano,Red,Unknown,46.76,4.3,,3.845028136603867,8
Argiolas Costera 2017,Cannonau Di Sardegna,Italy,2017,Argiolas,Red,Unknown,6.78,3.8,,1.9139771019523044,7
Argiolas Korem Isola Dei Nuraghi 2016,Isola Dei Nuraghi,Italy,2016,Argiolas,Red,Unknown,19.41,4.2,,2.965788397180919,8
Argiolas Senes Cannonau De Sardegna Riserva 2015,Cannonau Di Sardegna,Italy,2015,Argiolas,Red,Unknown,13.27,4.0,,2.585505848344116,9
Aristocratico Appassimento 2018,Salento,Italy,2018,Aristocratico,Red,Unknown,6.52,3.9,,1.874874375938561,6
Armand Dartois Chateauneufdupape 2018,Chateauneufdupape,France,2018,Armand Dartois,Red,Unknown,18.0,3.8,,2.8903717578961645,6
Arnaldocaprai Montefalco Rosso 2016,Montefalco,Italy,2016,Arnaldocaprai,Red,Unknown,12.17,3.7,,2.498973906999436,8
Arnegui Reserva Rioja 2013,Rioja,Spain,2013,Arnegui,Red,Reserva Rioja,7.91,3.9,,2.0681277817795625,11
Arnegui Reserva Rioja 2016,Rioja,Spain,2016,Arnegui,Red,Reserva Rioja,8.24,3.9,,2.10900034392138,8
Aroa Le Naturel Red 2019,Navarra,Spain,2019,Aroa,Red,Unknown,10.84,3.6,,2.3832429960115,5
Aroa Le Naturel Red 2020,Navarra,Spain,2020,Aroa,Red,Unknown,5.66,3.8,,1.7334238922150915,4
Aromo Merlot Private Reserve 2010,Maule Valley,Chile,2010,Aromo,Red,Merlot,10.21,3.1,,2.3233676321765744,14
Aromo Syrah Private Reserve 2015,Maule Valley,Chile,2015,Aromo,Red,Syrah,10.21,3.3,,2.3233676321765744,9
Arrayan Garnacha De Arrayan 2014,Castilla Y Leon,Spain,2014,Arrayan,Red,Garnacha,18.33,3.7,,2.908539061851614,10
Arrayan Seleccion 2016,Unknown,Spain,2016,Arrayan,Red,Unknown,8.29,3.7,,2.115049969147204,8
Arrogant Frog Syrah Viognier Sud De France 2017,Pays Doc,France,2017,Arrogant Frog,Red,Viognier,6.49,3.5,,1.8702625307159984,7
