region,country,vintage,producer,wine_variety,grape_variety,rating,rating_qty,log_price,log_rating_qty,rating * log_rating_qty
6.0,18.0,30.0,6704.0,0.0,54.0,3.9,1689.0,2.771963526845863,7.4318919168078,28.984378475550415
77.0,5.0,32.0,2178.0,0.0,121.0,4.1,49.0,2.9439125248241944,3.8918202981106265,15.956463222253568
20.0,1.0,27.0,5152.0,1.0,107.0,3.8,344.0,3.047850227816097,5.840641657373398,22.194438298018916
142.0,20.0,30.0,3280.0,2.0,76.0,3.5,336.0,3.4506222649896783,5.817111159963204,20.35988905987121
5.0,20.0,31.0,2936.0,0.0,16.0,4.0,32.0,3.295466427029913,3.4657359027997265,13.862943611198906
86.0,20.0,31.0,311.0,0.0,130.0,3.7,40.0,3.177637076851603,3.688879454113936,13.648853980221563
172.0,10.0,31.0,2861.0,1.0,61.0,3.6,197.0,1.6808279085207734,5.2832037287379885,19.01953342345676
39.0,20.0,31.0,6793.0,0.0,130.0,4.0,345.0,2.155244505095337,5.843544417031359,23.37417766812544
171.0,18.0,29.0,4529.0,3.0,121.0,3.8,199.0,3.055886196373738,5.293304824724492,20.11455833395307
203.0,17.0,28.0,4066.0,0.0,77.0,3.8,92.0,2.9090844668283187,4.5217885770490405,17.182796592786353
68.0,10.0,26.0,6082.0,2.0,110.0,4.1,191.0,3.4506222649896783,5.25227342804663,21.53432105499118
158.0,5.0,28.0,1467.0,3.0,121.0,3.7,453.0,2.854168709232204,6.115892125483034,22.62880086428723
67.0,5.0,28.0,1574.0,2.0,121.0,3.7,82.0,2.190535589185423,4.406719247264253,16.30486121487774
96.0,9.0,30.0,2415.0,0.0,71.0,3.8,39.0,3.090587804566669,3.6635616461296463,13.921534255292656
123.0,4.0,31.0,4058.0,0.0,18.0,4.0,39.0,3.2865344733420154,3.6635616461296463,14.654246584518583
201.0,1.0,31.0,5459.0,0.0,107.0,3.5,542.0,2.0706530356467567,6.295266001439646,22.033431005038764
178.0,18.0,19.0,4095.0,1.0,121.0,4.3,31.0,3.4455331954822075,3.4339872044851463,14.766144979286128
172.0,10.0,32.0,5448.0,0.0,102.0,3.5,41.0,1.9947003132247452,3.713572066704308,12.997502233465076
25.0,18.0,29.0,2489.0,2.0,121.0,4.4,26.0,4.5807750291533695,3.258096538021482,14.335624767294522
117.0,5.0,28.0,1882.0,1.0,121.0,3.7,94.0,3.71965111278069,4.543294782270004,16.810190694399015
12.0,6.0,28.0,3918.0,1.0,121.0,3.6,50.0,2.9433857931817817,3.912023005428146,14.083282819541326
39.0,20.0,30.0,875.0,0.0,16.0,3.5,1217.0,1.944480556245719,7.104144092987528,24.86450432545635
199.0,20.0,30.0,519.0,0.0,16.0,3.8,492.0,2.7073833121145063,6.198478716492308,23.55421912267077
178.0,18.0,28.0,442.0,2.0,121.0,3.8,72.0,2.9952321485123083,4.276666119016055,16.25133125226101
19.0,10.0,27.0,6685.0,0.0,8.0,4.0,49.0,4.208417018481948,3.8918202981106265,15.567281192442506
158.0,5.0,27.0,4937.0,3.0,121.0,3.9,86.0,3.99341864363214,4.454347296253507,17.37195445538868
238.0,17.0,32.0,451.0,3.0,77.0,4.3,4549.0,2.379546134130174,8.422662707570003,36.21744964255101
201.0,1.0,32.0,8.0,0.0,121.0,4.0,6865.0,2.075684492802124,8.834191318202071,35.336765272808286
196.0,10.0,29.0,2403.0,1.0,121.0,3.9,137.0,3.3379025312898416,4.919980925828125,19.18792561072969
158.0,7.0,29.0,5775.0,1.0,121.0,3.9,94.0,2.834976494674597,4.543294782270004,17.718849650853013
17.0,10.0,29.0,4038.0,0.0,6.0,4.0,879.0,3.1497400860333387,6.778784897685177,27.115139590740707
236.0,20.0,30.0,5313.0,3.0,82.0,3.9,1819.0,2.469793011977952,7.506042178518122,29.27356449622068
32.0,5.0,32.0,2815.0,0.0,121.0,3.9,52.0,3.366950942933564,3.951243718581428,15.409850502467568
3.0,14.0,30.0,3042.0,0.0,121.0,3.7,7414.0,2.196112848483529,8.911125383710678,32.971163919729506
178.0,18.0,30.0,664.0,0.0,121.0,3.8,387.0,2.7991089320491764,5.958424693029782,22.64201383351317
215.0,0.0,30.0,3190.0,1.0,48.0,3.4,300.0,2.5368663887187117,5.703782474656201,19.392860413831084
158.0,5.0,27.0,4287.0,3.0,121.0,4.1,176.0,3.840312157874145,5.170483995038151,21.19898437965642
178.0,18.0,29.0,3178.0,0.0,121.0,3.8,49.0,2.278292400425001,3.8918202981106265,14.78891713282038
239.0,20.0,32.0,5203.0,0.0,76.0,3.7,484.0,2.995732273553991,6.182084906716632,22.87371415485154
89.0,18.0,29.0,5140.0,0.0,121.0,3.4,31.0,2.128231705849268,3.4339872044851463,11.675556495249497
161.0,20.0,27.0,5279.0,0.0,53.0,4.1,31.0,3.332204510175204,3.4339872044851463,14.0793475383891
169.0,5.0,29.0,1734.0,3.0,78.0,4.1,114.0,3.270708973508218,4.736198448394496,19.41841363841743
94.0,17.0,31.0,734.0,3.0,121.0,4.2,1780.0,3.330059353828816,7.484368643286131,31.43434830180175
150.0,18.0,30.0,3434.0,0.0,121.0,3.6,36.0,2.2985770715965077,3.58351893845611,12.900668178441997
158.0,18.0,29.0,3323.0,0.0,121.0,3.6,188.0,3.044522437723423,5.236441962829949,18.851191066187816
39.0,20.0,28.0,3524.0,3.0,53.0,3.3,26.0,2.155244505095337,3.258096538021482,10.75171857547089
158.0,5.0,30.0,4659.0,1.0,110.0,3.9,222.0,2.558002204858551,5.402677381872279,21.07044178930189
30.0,5.0,33.0,1793.0,0.0,121.0,3.9,30.0,2.4849066497880004,3.4011973816621555,13.264669788482406
178.0,18.0,29.0,720.0,1.0,113.0,3.5,570.0,2.242835088588272,6.345636360828596,22.20972726290009
54.0,5.0,30.0,2032.0,0.0,121.0,4.3,188.0,4.004784485509457,5.236441962829949,22.51670044016878
221.0,18.0,28.0,2456.0,3.0,121.0,4.2,255.0,3.24493335918749,5.541263545158426,23.27330688966539
158.0,10.0,29.0,4703.0,2.0,121.0,4.0,63.0,2.752386014922262,4.143134726391533,16.57253890556613
235.0,17.0,31.0,2373.0,1.0,76.0,3.9,112.0,3.025291075795536,4.718498871295094,18.40214559805087
130.0,1.0,25.0,2433.0,0.0,107.0,3.3,452.0,2.564179830682508,6.113682179832232,20.175151193446364
178.0,18.0,28.0,938.0,2.0,121.0,3.8,1624.0,2.478217661637204,7.392647520721623,28.092060578742167
38.0,18.0,27.0,427.0,0.0,84.0,4.0,80.0,2.67000213346468,4.382026634673881,17.528106538695525
231.0,10.0,28.0,5310.0,0.0,121.0,3.9,49.0,3.219675505038765,3.8918202981106265,15.178099162631442
119.0,20.0,32.0,4650.0,0.0,16.0,4.3,31.0,2.9811261211646287,3.4339872044851463,14.766144979286128
43.0,10.0,31.0,4642.0,2.0,121.0,3.6,413.0,2.8903717578961645,6.023447592961033,21.68441133465972
206.0,10.0,31.0,3013.0,1.0,115.0,3.6,47.0,2.3331142980288684,3.8501476017100575,13.860531366156213
158.0,5.0,28.0,3373.0,0.0,121.0,4.5,111.0,5.515281866785531,4.709530201312334,21.192885905905506
188.0,5.0,27.0,1363.0,2.0,121.0,3.6,67.0,3.4429789156771107,4.204692619390966,15.136893429807476
198.0,20.0,30.0,4911.0,1.0,76.0,4.3,183.0,4.466597536124152,5.2094861528414205,22.400790457218108
162.0,5.0,25.0,1966.0,2.0,121.0,4.3,1625.0,4.822617544757421,7.393263094763838,31.791031307484506
80.0,14.0,32.0,4178.0,0.0,121.0,3.8,36.0,3.0440461338325417,3.58351893845611,13.617371966133216
209.0,10.0,31.0,6822.0,3.0,62.0,3.7,119.0,2.096790180014449,4.77912349311153,17.68275692451266
178.0,18.0,28.0,3455.0,1.0,121.0,3.5,106.0,1.8389610707123487,4.663439094112067,16.322036829392236
203.0,17.0,29.0,6715.0,0.0,10.0,3.8,283.0,2.8964642718953217,5.645446897643238,21.452698211044304
196.0,10.0,29.0,4766.0,1.0,63.0,4.2,111.0,3.3357695763397,4.709530201312334,19.7800268455118
77.0,5.0,30.0,3096.0,3.0,121.0,3.7,2455.0,2.2679936482244267,7.805882040228622,28.881763548845903
80.0,14.0,27.0,1078.0,1.0,121.0,3.9,219.0,2.913979771681732,5.389071729816501,21.01737974628435
39.0,20.0,31.0,3152.0,2.0,16.0,3.7,149.0,2.224623551524334,5.003946305945459,18.5146013319982
204.0,10.0,32.0,2979.0,2.0,44.0,3.7,53.0,2.710048203764883,3.970291913552122,14.690080080142852
239.0,20.0,32.0,3987.0,0.0,76.0,4.2,35.0,3.299533727885655,3.555348061489413,14.932461858255538
83.0,10.0,30.0,5124.0,0.0,29.0,3.7,111.0,3.1350593387750902,4.709530201312334,17.425261744855636
158.0,20.0,30.0,811.0,0.0,16.0,4.0,139.0,3.4008639927609177,4.934473933130692,19.73789573252277
201.0,1.0,32.0,432.0,1.0,107.0,4.1,271.0,1.8405496333974871,5.602118820879701,22.968687165606774
158.0,20.0,26.0,2226.0,0.0,121.0,4.2,637.0,4.399006654708566,6.456769655572163,27.118432553403085
38.0,18.0,31.0,3721.0,1.0,36.0,3.9,27.0,2.0268315914075385,3.295836866004329,12.853763777416884
210.0,18.0,28.0,6202.0,0.0,121.0,3.9,1420.0,2.847812143477369,7.258412150595306,28.30780738732169
