name,Region,Country,Vintage,Producer,Wine Variety,Grape Variety,Price ($),Average Rating,ABV,Log Price,Age
Obikwa Pinotage 2019,Western Cape,South Africa,2019,Obikwa,Red,Pinotage,6.1,3.7,,1.8082887711792657,5
Odfjell Armador Carmenere 2019,Maule Valley,Chile,2019,Odfjell,Red,Carmenere,9.98,3.7,,2.300583090323373,5
Nobile Delle Rocche Montepulciano Dabruzzo Riserva 2011,Montepulciano Dabruzzo,Italy,2011,Nobile Delle Rocche,Rose,Montepulciano,7.94,3.8,,2.0719132752590443,13
Emiliana Novas Gran Reserva Carmenere Cabernet Sauvignon 2017,Colchagua Valley,Chile,2017,Emiliana,Rose,Cabernet Sauvignon,11.39,3.9,,2.4327357774590905,7
Errazuriz La Cumbre Syrah 2013,Aconcagua Valley,Chile,2013,Errazuriz,Sparkling,Syrah,76.73,4.1,,4.340292766189574,11
Chateau De Saint Cosme Gigondas Le Claux 2012,Gigondas,France,2012,Chateau De Saint Cosme,Rose,Gigondas,81.37,4.3,,4.399006654708566,12
M Chapoutier Chateauneufdupape Barbe Rac 2004,Chateauneufdupape,France,2004,M Chapoutier,Sparkling,Unknown,78.06,4.0,,4.3574777617524685,20
Bianka And Daniel Schmitt Spatburgunder 2018,Rheinhessen,Germany,2018,Bianka And Daniel Schmitt,Sparkling,Unknown,15.08,3.9,,2.71336936257981,6
Corte Figaretto Brolo Del Figaretto Amarone Della Valpolicella Valpantena 2015,Other,Italy,2015,Corte Figaretto,Rose,Unknown,32.01,4.2,,3.466048353981772,9
Bogle Old Vines Zinfandel 2019,California,United States,2019,Bogle,Red,Zinfandel,9.03,4.0,14.5,2.200552367428894,5
Cecilia Beretta Costiera Bardolino Classico 2017,Other,Italy,2017,Cecilia Beretta,Rose,Bardolino,7.56,3.8,,2.0228711901914416,7
Rocca Delle Macie Vernaiolo Chianti 2018,Chianti,Italy,2018,Rocca Delle Macie,White,Chianti,7.3,3.6,,1.9878743481543453,6
Francis Ford Coppola Winery Directors Cut Cabernet Sauvignon 2016,Sonoma County,United States,2016,Francis Ford Coppola Winery,Red,Cabernet Sauvignon,21.99,4.0,,3.090587804566669,8
Domaine Houchart Rouge 2018,Cotes De Provence,France,2018,Domaine Houchart,Rose,Unknown,10.84,3.8,,2.3832429960115,6
Altesino Brunello Di Montalcino Montosoli 2014,Brunello Di Montalcino,Italy,2014,Altesino,Red,Unknown,74.48,4.4,,4.3105306329688124,10
Vasse Felix Tom Cullity Cabernet Sauvignon Malbec 2014,Margaret River,Australia,2014,Vasse Felix,Rose,Cabernet Sauvignon,124.77,4.2,,4.82647204242293,10
Louis Jadot Cote De Nuits Villages Le Vaucrain 2016,Other,France,2016,Louis Jadot,White,Unknown,34.72,4.0,,3.547315889792149,8
Jim Jim Shiraz 2017,Mclaren Vale,Australia,2017,Jim Jim,Sparkling,Shiraz,12.59,3.4,,2.532902848056256,7
